timestamp,ridlserver02,ridlserver04,ridlserver05,ridlserver11,ridlserver12,total_watts
2026-03-10T13:25:42.886+00:00,140,83,140,96,159,618
2026-03-10T13:25:44.067+00:00,140,84,140,96,159,619
2026-03-10T13:25:45.067+00:00,176,84,140,96,161,657
2026-03-10T13:25:46.067+00:00,207,87,140,96,161,691
2026-03-10T13:25:47.067+00:00,208,86,140,95,161,690
2026-03-10T13:25:48.067+00:00,208,86,141,95,160,690
2026-03-10T13:25:49.067+00:00,209,87,140,96,161,693
2026-03-10T13:25:50.378+00:00,209,87,140,96,161,693
2026-03-10T13:25:51.378+00:00,208,84,141,97,159,689
2026-03-10T13:25:52.378+00:00,208,83,140,97,159,687
2026-03-10T13:25:53.378+00:00,210,82,140,97,160,689
2026-03-10T13:25:54.689+00:00,208,84,141,97,161,691
2026-03-10T13:25:55.689+00:00,207,83,141,97,161,689
2026-03-10T13:25:56.689+00:00,209,95,139,97,160,700
2026-03-10T13:25:57.689+00:00,210,87,138,96,160,691
2026-03-10T13:25:58.689+00:00,208,84,141,95,159,687
2026-03-10T13:25:59.689+00:00,207,188,141,95,160,791
2026-03-10T13:26:00.709+00:00,208,188,140,94,160,790
2026-03-10T13:26:01.709+00:00,209,197,140,94,160,800
2026-03-10T13:26:02.709+00:00,209,190,140,96,160,795
2026-03-10T13:26:03.709+00:00,208,188,139,96,161,792
2026-03-10T13:26:04.709+00:00,209,202,139,96,161,807
2026-03-10T13:26:05.709+00:00,209,207,138,96,160,810
2026-03-10T13:26:06.709+00:00,209,207,141,96,160,813
2026-03-10T13:26:07.709+00:00,208,207,140,95,161,811
2026-03-10T13:26:08.709+00:00,209,194,139,96,160,798
2026-03-10T13:26:09.709+00:00,207,201,140,95,160,803
2026-03-10T13:26:10.736+00:00,209,206,140,95,160,810
2026-03-10T13:26:11.724+00:00,209,205,140,95,159,808
2026-03-10T13:26:12.740+00:00,209,192,141,96,160,798
2026-03-10T13:26:13.728+00:00,209,205,142,95,160,811
2026-03-10T13:26:14.716+00:00,208,207,138,97,159,809
2026-03-10T13:26:15.744+00:00,209,203,140,96,158,806
2026-03-10T13:26:16.720+00:00,209,191,140,96,158,794
2026-03-10T13:26:17.720+00:00,208,196,139,96,159,798
2026-03-10T13:26:18.732+00:00,210,207,140,96,160,813
2026-03-10T13:26:19.732+00:00,210,205,140,97,160,812
2026-03-10T13:26:20.720+00:00,209,205,139,97,161,811
2026-03-10T13:26:21.716+00:00,210,201,139,97,161,808
2026-03-10T13:26:22.736+00:00,210,194,141,96,163,804
2026-03-10T13:26:23.720+00:00,209,196,139,96,160,800
2026-03-10T13:26:25.037+00:00,210,201,139,95,161,806
2026-03-10T13:26:26.352+00:00,209,201,140,95,160,805
2026-03-10T13:26:27.392+00:00,209,197,140,96,159,801
2026-03-10T13:26:28.380+00:00,209,193,141,96,159,798
2026-03-10T13:26:29.376+00:00,209,207,140,97,159,812
2026-03-10T13:26:30.352+00:00,208,206,139,97,160,810
2026-03-10T13:26:31.352+00:00,209,202,140,95,160,806
2026-03-10T13:26:32.352+00:00,209,210,140,95,159,813
2026-03-10T13:26:33.352+00:00,209,196,140,99,160,804
2026-03-10T13:26:34.352+00:00,209,210,140,96,160,815
2026-03-10T13:26:35.352+00:00,210,206,139,95,161,811
2026-03-10T13:26:36.352+00:00,209,206,140,98,161,814
2026-03-10T13:26:37.352+00:00,211,196,139,97,159,802
2026-03-10T13:26:38.352+00:00,208,196,138,97,159,798
2026-03-10T13:26:39.352+00:00,195,209,140,96,159,799
