start,end,duration_s,avg_watts,peak_watts
2025-09-22T12:49:22.544176-05:00,2025-09-22T12:50:23.703967-05:00,76.000,817.618,907.000
2025-09-22T12:52:38.175162-05:00,2025-09-22T12:53:05.504633-05:00,48.000,846.917,908.000
