timestamp,ridlserver02,ridlserver04,ridlserver05,ridlserver11,ridlserver12,total_watts
2025-09-22T12:47:23.542-05:00,136,84,135,96,159,610
2025-09-22T12:47:25.387-05:00,137,85,135,95,161,613
2025-09-22T12:47:27.535-05:00,137,85,135,95,161,613
2025-09-22T12:47:28.066-05:00,137,85,135,95,161,613
2025-09-22T12:47:28.485-05:00,137,83,135,95,161,611
2025-09-22T12:47:29.379-05:00,136,83,135,96,161,611
2025-09-22T12:47:31.019-05:00,136,83,135,96,159,609
2025-09-22T12:47:31.449-05:00,137,84,134,94,159,608
2025-09-22T12:47:33.205-05:00,137,84,134,96,161,612
2025-09-22T12:47:33.785-05:00,137,83,134,96,161,611
2025-09-22T12:47:34.647-05:00,135,83,134,96,161,609
2025-09-22T12:47:35.070-05:00,135,83,136,96,161,611
2025-09-22T12:47:35.538-05:00,135,83,136,96,161,611
2025-09-22T12:47:37.265-05:00,136,82,134,95,160,607
2025-09-22T12:47:39.207-05:00,0,84,0,94,0,178
2025-09-22T12:47:54.932-05:00,135,82,134,95,160,606
2025-09-22T12:47:56.873-05:00,135,83,135,95,160,608
2025-09-22T12:47:57.307-05:00,135,83,135,95,160,608
2025-09-22T12:47:57.728-05:00,135,83,135,96,160,609
2025-09-22T12:47:58.641-05:00,135,83,135,96,161,610
2025-09-22T12:47:59.078-05:00,135,83,135,96,161,610
2025-09-22T12:47:59.504-05:00,135,83,135,96,161,610
2025-09-22T12:48:00.927-05:00,135,83,134,96,160,608
2025-09-22T12:48:01.344-05:00,135,81,134,95,160,605
2025-09-22T12:48:02.675-05:00,135,81,134,95,160,605
2025-09-22T12:48:03.109-05:00,135,81,135,95,160,606
2025-09-22T12:48:03.742-05:00,135,84,135,95,160,609
2025-09-22T12:48:04.608-05:00,135,84,134,95,160,608
2025-09-22T12:48:05.251-05:00,135,84,134,95,160,608
2025-09-22T12:48:06.234-05:00,135,82,136,95,159,607
2025-09-22T12:48:07.375-05:00,137,85,135,94,161,612
2025-09-22T12:48:09.105-05:00,137,85,135,94,161,612
2025-09-22T12:48:09.530-05:00,137,85,135,94,161,612
2025-09-22T12:48:09.950-05:00,137,85,135,94,161,612
